f1,f2,f3,dur,f1_raw,f2_raw,f3_raw,dur_raw,speaker,label,prev,post
0.761863232,-0.608274725,0.289986964,-0.829937943,0.761863232,-0.608274725,0.289986964,-0.829937943,s01,ah,v,v
1.251027946,-0.332985419,-0.268691999,-0.840973534,1.251027946,-0.332985419,-0.268691999,-0.840973534,s01,ah,p,p
0.86436369,-1.044794553,-1.793401288,0.373944704,0.86436369,-1.044794553,-1.793401288,0.373944704,s01,ah,v,v
-1.297473776,1.12035519,0.390073472,-0.644339368,-1.297473776,1.12035519,0.390073472,-0.644339368,s01,iy,hh,s
-0.445738581,1.069046015,0.522362705,-0.311265169,-0.445738581,1.069046015,0.522362705,-0.311265169,s01,iy,s,#
-0.387697951,1.339658613,1.147289171,-0.745666158,-0.387697951,1.339658613,1.147289171,-0.745666158,s01,iy,hh,z
-0.848405305,1.64243791,1.341370929,-0.175828371,-0.848405305,1.64243791,1.341370929,-0.175828371,s01,iy,hh,#
-1.03277461,0.241005308,0.61000293,-0.577122587,-1.03277461,0.241005308,0.61000293,-0.577122587,s01,iy,sh,z
0.204924379,1.136267338,0.415813651,-0.609226124,0.204924379,1.136267338,0.415813651,-0.609226124,s01,iy,hh,z
1.897836798,-0.33084394,0.530843494,0.737115969,1.897836798,-0.33084394,0.530843494,0.737115969,s01,ah,b,t
0.432278558,-0.848840229,-0.056100171,-0.685472025,0.432278558,-0.848840229,-0.056100171,-0.685472025,s01,ah,f,f
0.928504324,-0.151172693,0.160717558,-0.301232814,0.928504324,-0.151172693,0.160717558,-0.301232814,s01,ah,v,v
1.67262629,-1.363403669,0.799868605,0.924721015,1.67262629,-1.363403669,0.799868605,0.924721015,s01,ah,p,p
-0.118316158,-1.204042177,-0.967569658,2.083458063,-0.118316158,-1.204042177,-0.967569658,2.083458063,s01,uw,t,#
0.623900318,-0.490824138,0.440689526,0.103071109,0.623900318,-0.490824138,0.440689526,0.103071109,s01,ah,b,t
0.836866611,-0.146740383,-0.344563084,-0.718578798,0.836866611,-0.146740383,-0.344563084,-0.718578798,s01,ah,v,v
-1.038363183,0.57892906,0.381605148,-0.705536736,-1.038363183,0.57892906,0.381605148,-0.705536736,s01,iy,s,z
-1.16658358,0.853284634,-0.951520329,-0.578125823,-1.16658358,0.853284634,-0.951520329,-0.578125823,s01,iy,b,#
-1.243227062,-1.342079337,-1.04218815,-0.764727633,-1.243227062,-1.342079337,-1.04218815,-0.764727633,s01,ah,s,s
-0.670014899,0.925583267,0.185988983,-0.262106628,-0.670014899,0.925583267,0.185988983,-0.262106628,s01,iy,hh,#
-0.245722473,0.272018854,0.581291566,-0.816895881,-0.245722473,0.272018854,0.581291566,-0.816895881,s01,iy,sh,#
-1.34623398,-0.976133462,-2.5271408,-0.780779401,-1.34623398,-0.976133462,-2.5271408,-0.780779401,s01,ah,s,s
0.214868705,-0.337697043,0.58061932,-0.582138765,0.214868705,-0.337697043,0.58061932,-0.582138765,s01,ah,s,s
1.182694614,-1.88478627,-2.798740846,-0.439679318,1.182694614,-1.88478627,-2.798740846,-0.439679318,s01,ah,d,z
1.269464046,-0.647756307,-0.361902338,0.184333187,1.269464046,-0.647756307,-0.361902338,0.184333187,s01,ah,v,v
-0.996500095,0.988595629,0.354771641,0.388993237,-0.996500095,0.988595629,0.354771641,0.388993237,s01,iy,hh,z
1.877737055,-0.677629598,0.240776364,0.946792197,1.877737055,-0.677629598,0.240776364,0.946792197,s01,ah,p,p
-0.82849685,1.161051384,0.800777096,-0.702527029,-0.82849685,1.161051384,0.800777096,-0.702527029,s01,iy,sh,#
-0.971584595,1.196961398,0.530118801,-0.388514306,-0.971584595,1.196961398,0.530118801,-0.388514306,s01,iy,th,s
-0.959972228,-0.832693257,0.589692933,-0.626281128,-0.959972228,-0.832693257,0.589692933,-0.626281128,s01,iy,hh,#
2.824090323,-0.283466408,-0.704916212,-0.621264951,2.824090323,-0.283466408,-0.704916212,-0.621264951,s01,ah,v,v
2.133374073,-0.906633669,-0.245553042,-0.141718363,2.133374073,-0.906633669,-0.245553042,-0.141718363,s01,ah,p,p
0.768260563,-1.18362113,-1.700036319,-0.220973971,0.768260563,-1.18362113,-1.700036319,-0.220973971,s01,ah,z,z
-2.634283972,-1.54049669,-0.973166111,-0.129679537,-2.634283972,-1.54049669,-0.973166111,-0.129679537,s01,ah,p,p
-0.584289994,1.111099854,0.570639298,-0.220973971,-0.584289994,1.111099854,0.570639298,-0.220973971,s01,iy,hh,#
-0.120147084,1.15352718,0.586187452,-0.220973971,-0.120147084,1.15352718,0.586187452,-0.220973971,s01,iy,b,#
-0.238684316,-0.22918336,-0.534472784,1.272843747,-0.238684316,-0.22918336,-0.534472784,1.272843747,s01,uw,d,#
