f1,f2,f3,dur,f1_raw,f2_raw,f3_raw,dur_raw,speaker,label
0.662759244,0.470163236,-0.324155549,0.875270329,0.662759244,0.470163236,-0.324155549,0.875270329,m07,ae
1.541011018,-0.77065491,-0.913968376,1.217381066,1.541011018,-0.77065491,-0.913968376,1.217381066,m07,ah
0.287323372,0.378801626,-0.181398304,-0.897485312,0.287323372,0.378801626,-0.181398304,-0.897485312,m07,eh
-0.557407341,0.739998689,0.453495759,-1.115192145,-0.557407341,0.739998689,0.453495759,-1.115192145,m07,ih
-1.227828542,1.568627246,2.162825928,1.030775209,-1.227828542,1.568627246,2.162825928,1.030775209,m07,iy
0.656055032,-0.889637472,-0.136317068,-1.270697025,0.656055032,-0.889637472,-0.136317068,-1.270697025,m07,uh
-1.361912783,-1.497298414,-1.060482391,0.159947877,-1.361912783,-1.497298414,-1.060482391,0.159947877,m07,uw
0.511595914,0.46444429,-0.337101526,0.888537182,0.511595914,0.46444429,-0.337101526,0.888537182,m08,ae
1.380190171,-0.752982789,-0.636381906,1.340251616,1.380190171,-0.752982789,-0.636381906,1.340251616,m08,ah
0.568552915,0.207045422,-0.043576539,-0.848826023,0.568552915,0.207045422,-0.043576539,-0.848826023,m08,eh
-0.385476842,0.51777919,-0.129907417,-0.98781508,-0.385476842,0.51777919,-0.129907417,-0.98781508,m08,ih
-1.595813101,1.809411348,2.02836455,1.201262559,-1.595813101,1.809411348,2.02836455,1.201262559,m08,iy
0.682466916,-0.887479495,0.549228828,-0.744584231,0.682466916,-0.887479495,0.549228828,-0.744584231,m08,uh
-1.161515973,-1.358217966,-1.43062599,-0.848826023,-1.161515973,-1.358217966,-1.43062599,-0.848826023,m08,uw
0.534238708,0.323628737,-0.193125485,1.052776102,0.534238708,0.323628737,-0.193125485,1.052776102,m09,ae
1.643534364,-0.695111113,-0.641615949,0.888605571,1.643534364,-0.695111113,-0.641615949,0.888605571,m09,ah
0.458604914,0.275281761,0.146445866,-0.771340906,0.458604914,0.275281761,0.146445866,-0.771340906,m09,eh
-0.776747066,0.741484743,0.357877084,-1.099681968,-0.776747066,0.741484743,0.357877084,-1.099681968,m09,ih
-1.390221178,1.635903798,1.780232554,1.089258442,-1.390221178,1.635903798,1.780232554,1.089258442,m09,iy
0.525834953,-0.636404071,0.319435044,-1.428023029,0.525834953,-0.636404071,0.319435044,-1.428023029,m09,uh
-0.995244695,-1.644783855,-1.769249114,0.268405788,-0.995244695,-1.644783855,-1.769249114,0.268405788,m09,uw
0.322333838,0.760178432,0.316814326,1.511142992,0.322333838,0.760178432,0.316814326,1.511142992,m10,ae
1.589049273,-0.963606463,-0.785274534,1.224546907,1.589049273,-0.963606463,-0.785274534,1.224546907,m10,ah
0.573037935,0.129171619,0.195111262,-0.990059202,0.573037935,0.129171619,0.195111262,-0.990059202,m10,eh
-0.489155737,0.571601683,-0.636526344,-0.990059202,-0.489155737,0.571601683,-0.636526344,-0.990059202,m10,ih
-1.34023017,1.649873861,2.176166696,-0.02605419,-1.34023017,1.649873861,2.176166696,-0.02605419,m10,iy
0.619220268,-0.825800377,-0.244372026,-1.06822177,0.619220268,-0.825800377,-0.244372026,-1.06822177,m10,uh
-1.274255408,-1.321418755,-1.021919381,0.338704464,-1.274255408,-1.321418755,-1.021919381,0.338704464,m10,uw
0.498692442,0.59253625,0.296664774,0.566574747,0.498692442,0.59253625,0.296664774,0.566574747,m11,ae
1.734184234,-0.391636309,-1.034962471,0.658807846,1.734184234,-0.391636309,-1.034962471,0.658807846,m11,ah
0.189819494,0.163294724,0.082576793,-2.108185107,0.189819494,0.163294724,0.082576793,-2.108185107,m11,eh
-0.323026156,0.734826259,0.686304901,-0.263523138,-0.323026156,0.734826259,0.686304901,-0.263523138,m11,ih
-1.296267332,1.505563805,1.713927212,0.751040944,-1.296267332,1.505563805,1.713927212,0.751040944,m11,iy
0.49286465,-0.934709842,-0.200019343,-0.540222434,0.49286465,-0.934709842,-0.200019343,-0.540222434,m11,uh
-1.296267332,-1.669874886,-1.544491867,0.935507141,-1.296267332,-1.669874886,-1.544491867,0.935507141,m11,uw
0.808355928,0.402874894,-1.003287801,1.478497814,0.808355928,0.402874894,-1.003287801,1.478497814,m13,ae
1.533485726,-0.406507124,-0.28297861,0.897916965,1.533485726,-0.406507124,-0.28297861,0.897916965,m13,ah
0.411703731,0.362617673,-1.526369475,-0.439943252,0.411703731,0.362617673,-1.526369475,-0.439943252,m13,eh
-0.741066716,0.892317947,0.463055908,-1.424406431,-0.741066716,0.892317947,0.463055908,-1.424406431,m13,ih
-1.280265797,1.349978983,1.792197866,0.216365534,-1.280265797,1.349978983,1.792197866,0.216365534,m13,iy
0.461285256,-0.781534918,0.248678173,-1.222465266,0.461285256,-0.781534918,0.248678173,-1.222465266,m13,uh
-1.193498129,-1.819747455,0.308703939,0.494034635,-1.193498129,-1.819747455,0.308703939,0.494034635,m13,uw
0.566609093,0.414761689,-0.169735105,1.050997515,0.566609093,0.414761689,-0.169735105,1.050997515,m14,ae
1.455732523,-0.735700531,-1.299793716,1.387958551,1.455732523,-0.735700531,-1.299793716,1.387958551,m14,ah
0.319200834,0.253968741,0.263278007,-1.25156956,0.319200834,0.253968741,0.263278007,-1.25156956,m14,eh
-0.291588305,0.537054917,0.199910235,-0.240686454,-0.291588305,0.537054917,0.199910235,-0.240686454,m14,ih
-1.575018648,1.812075054,2.085101469,0.152434754,-1.575018648,1.812075054,2.085101469,0.152434754,m14,iy
0.705776239,-0.989345744,-0.190857696,-1.476210251,0.705776239,-0.989345744,-0.190857696,-1.476210251,m14,uh
-1.180711736,-1.292814125,-0.887903194,0.377075444,-1.180711736,-1.292814125,-0.887903194,0.377075444,m14,uw
0.548664734,0.469945181,-0.804411957,1.580930105,0.548664734,0.469945181,-0.804411957,1.580930105,m16,ae
1.406197739,-0.866985538,0.862914645,0.796071188,1.406197739,-0.866985538,0.862914645,0.796071188,m16,ah
0.430069744,0.374107854,0.277887767,-0.616674864,0.430069744,0.374107854,0.277887767,-0.616674864,m16,eh
-0.518690176,0.699954767,0.731283597,-1.480019673,-0.518690176,0.699954767,0.731283597,-1.480019673,m16,ih
-1.640781236,1.622389045,0.087754032,0.285912891,-1.640781236,1.622389045,0.087754032,0.285912891,m16,iy
0.767609331,-0.902924536,0.892165989,-1.009104322,0.767609331,-0.902924536,0.892165989,-1.009104322,m16,uh
-0.993070136,-1.396486773,-2.047594073,0.442884675,-0.993070136,-1.396486773,-2.047594073,0.442884675,m16,uw
1.14301231,0.308205271,-0.344407015,1.172782371,1.14301231,0.308205271,-0.344407015,1.172782371,m17,ae
1.171871052,-1.065428863,-0.443096744,0.792210608,1.171871052,-1.065428863,-0.443096744,0.792210608,m17,ah
0.233961943,0.472487163,0.228933318,-0.893178627,0.233961943,0.472487163,0.228933318,-0.893178627,m17,eh
-0.631800312,0.927726141,0.985554576,-1.219382995,-0.631800312,0.927726141,0.985554576,-1.219382995,m17,ih
-1.46148914,1.485888714,1.601190507,1.28151716,-1.46148914,1.485888714,1.601190507,1.28151716,m17,iy
0.674057756,-0.738844379,-0.292712395,-1.029097113,0.674057756,-0.738844379,-0.292712395,-1.029097113,m17,uh
-1.129613609,-1.390034047,-1.735462247,-0.104851404,-1.129613609,-1.390034047,-1.735462247,-0.104851404,m17,uw
0.079100124,0.781897928,0.446345247,0.402132175,0.079100124,0.781897928,0.446345247,0.402132175,m18,ae
1.417899246,-0.644271179,-1.00918728,1.749151607,1.417899246,-0.644271179,-1.00918728,1.749151607,m18,ah
0.731971301,0.263493245,0.417898357,-1.221198936,0.731971301,0.263493245,0.417898357,-1.221198936,m18,eh
-0.301052712,0.534932607,0.266181612,-1.065773617,-0.301052712,0.534932607,0.266181612,-1.065773617,m18,ih
-1.54894572,1.56061741,1.868689736,0.557557494,-1.54894572,1.56061741,1.868689736,0.557557494,m18,iy
0.781556453,-1.067004612,-0.8148002,-0.824000898,0.781556453,-1.067004612,-0.8148002,-0.824000898,m18,uh
-1.160528691,-1.429665399,-1.175127471,0.402132175,-1.160528691,-1.429665399,-1.175127471,0.402132175,m18,uw
0.487222045,0.314229778,-0.629646839,0.825508434,0.487222045,0.314229778,-0.629646839,0.825508434,m19,ae
1.744113697,-0.81549295,-0.833784972,1.651016868,1.744113697,-0.81549295,-0.833784972,1.651016868,m19,ah
0.324814697,0.048553459,-0.249207591,-1.12269147,0.324814697,0.048553459,-0.249207591,-1.12269147,m19,eh
-0.635507015,0.546397373,-0.01723244,-0.825508434,-0.635507015,0.546397373,-0.01723244,-0.825508434,m19,ih
-1.511094458,1.903500735,2.302519072,0.429264386,-1.511094458,1.903500735,2.302519072,0.429264386,m19,iy
0.444854911,-0.600079718,0.149789669,-1.188732145,0.444854911,-0.600079718,0.149789669,-1.188732145,m19,uh
-0.854403876,-1.397108676,-0.7224369,0.231142361,-0.854403876,-1.397108676,-0.7224369,0.231142361,m19,uw
0.229690134,0.741138603,0.821643318,1.084055858,0.229690134,0.741138603,0.821643318,1.084055858,m20,ae
1.656459028,-0.323679661,-0.811612641,0.71517574,1.656459028,-0.323679661,-0.811612641,0.71517574,m20,ah
